version,elapsed_time,maze_size,n_particles,generation_seed,solution_seed,maze_image_path
sequential,8216.14,101,10000,294610879,1095212617,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:33:21_1095212617.txt"
parallel,1131.58,101,10000,294610879,1095212617,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:33:22_1095212617.txt"
sequential,231502,101,10000,1927941475,4096658081,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:37:14_4096658081.txt"
parallel,16631.3,101,10000,1927941475,4096658081,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:37:30_4096658081.txt"
sequential,115577,101,10000,2286405126,1851062412,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:39:26_1851062412.txt"
parallel,9346.56,101,10000,2286405126,1851062412,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:39:35_1851062412.txt"
sequential,475459,101,10000,3537156095,1210451331,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:47:31_1210451331.txt"
parallel,30388.5,101,10000,3537156095,1210451331,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:48:01_1210451331.txt"
sequential,178753,101,10000,4041334577,1737178630,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:51:00_1737178630.txt"
parallel,17862.7,101,10000,4041334577,1737178630,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:51:18_1737178630.txt"
sequential,43363.4,101,10000,1578260161,2392670947,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:52:01_2392670947.txt"
parallel,2664.77,101,10000,1578260161,2392670947,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:52:04_2392670947.txt"
sequential,321575,101,10000,3537506440,3875157729,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:57:25_3875157729.txt"
parallel,19722.1,101,10000,3537506440,3875157729,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:57:45_3875157729.txt"
sequential,648722,101,10000,1785020622,2906272135,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T18:08:34_2906272135.txt"
parallel,42098.2,101,10000,1785020622,2906272135,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T18:09:16_2906272135.txt"
sequential,113263,101,10000,973678400,831276424,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T18:11:09_831276424.txt"
parallel,25194.3,101,10000,973678400,831276424,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T18:11:34_831276424.txt"
sequential,77753.5,101,10000,1527899695,3922498364,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T18:12:52_3922498364.txt"
parallel,10760.2,101,10000,1527899695,3922498364,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T18:13:03_3922498364.txt"
sequential,690767,101,10000,2756671864,87069299,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T18:24:34_87069299.txt"
parallel,38277.9,101,10000,2756671864,87069299,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T18:25:12_87069299.txt"
sequential,123276,101,10000,903897155,949808130,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:00:48_949808130.txt"
parallel,8940.69,101,10000,903897155,949808130,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:00:57_949808130.txt"
sequential,219201,101,10000,606902241,1766075849,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:04:37_1766075849.txt"
parallel,10248,101,10000,606902241,1766075849,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:04:47_1766075849.txt"
sequential,31646.7,101,10000,3802977673,1794601052,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:05:19_1794601052.txt"
parallel,3150.17,101,10000,3802977673,1794601052,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:05:22_1794601052.txt"
sequential,347000,101,10000,703864869,3404884128,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:11:09_3404884128.txt"
parallel,11876.4,101,10000,703864869,3404884128,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:11:21_3404884128.txt"
sequential,195599,101,10000,1075240969,3282041745,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:14:36_3282041745.txt"
parallel,10210.1,101,10000,1075240969,3282041745,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:14:46_3282041745.txt"
sequential,99300.1,101,10000,2990809596,2219380523,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:16:26_2219380523.txt"
parallel,8040.14,101,10000,2990809596,2219380523,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:16:34_2219380523.txt"
sequential,56236.2,101,10000,1147424099,3657559747,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:17:30_3657559747.txt"
parallel,6298.74,101,10000,1147424099,3657559747,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:17:36_3657559747.txt"
sequential,378658,101,10000,2561286350,660614192,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:23:55_660614192.txt"
parallel,15454.2,101,10000,2561286350,660614192,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:24:10_660614192.txt"
sequential,118350,101,10000,4160331609,2582456453,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:26:09_2582456453.txt"
parallel,7014.75,101,10000,4160331609,2582456453,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:26:16_2582456453.txt"
sequential,2675.2,101,10000,3395442751,1083146089,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:26:18_1083146089.txt"
parallel,353.17,101,10000,3395442751,1083146089,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:26:19_1083146089.txt"
sequential,25154.3,101,10000,3969951972,417822673,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:26:44_417822673.txt"
parallel,2008.41,101,10000,3969951972,417822673,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:26:46_417822673.txt"
sequential,213468,101,10000,2211968325,655747099,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:30:19_655747099.txt"
parallel,14792.2,101,10000,2211968325,655747099,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:30:34_655747099.txt"
sequential,396.729,101,10000,439106093,710792920,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T19:30:35_710792920.txt"
parallel,70.571,101,10000,439106093,710792920,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T19:30:35_710792920.txt"
